fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,dependencia_alta,via_ingreso,derivacion_institucion,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,derivacion3_institucion,derivacion3_fecha,derivacion3_judicializa,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_tipo,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,provincia_indec_id
2020-01-07,,525554505,Urgencia,Ciudadano,Sí,Trata,"Explotación sexual - explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-07 10:59,Sí,,,,,,,,,,Denunciante - ciudadano,,Hombre,,02
2020-01-07,,1525554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida - venta de niños y otros delitos,Buenos Aires,Melchor Romero,PNR - Línea 145,Presencial,Protex,2020-01-07 12:08,Sí,,,,,,,Argentina,Buenos Aires,Ensenada,Denunciante - ciudadano,,Mujer,,06
2020-01-07,,2525554505,Urgencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-07 14:38,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,02
2020-01-07,,3525554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Córdoba,Villa Carlos Paz,PNR - Línea 145,Línea 145,Protex,2020-01-07 16:10,Sí,,,,,,,,Córdoba,Villa Carlos Paz,Denunciante - ciudadano,,,,14
2020-01-08,,4525554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-08 01:36,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-08,,5525554505,Emergencia,Ciudadano,Sí,Trata,Explotación sexual,Salta,Tartagal,PNR - Línea 145,Línea 145,Protex,2020-01-08 09:18,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,66
2020-01-08,,6525554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-08 11:47,Sí,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-08,,7525554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Protex,2020-01-08 11:26,Sí,,,,,,,Argentina,Buenos Aires,Melchor Romero,Denunciante - ciudadano,,Mujer,,06
2020-01-08,,8435554505,Emergencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-08 13:35,Sí,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-08,,9435554505,Urgencia,Institución,No,Trata,Explotación sexual,Río Negro,San Carlos de Bariloche,PNR - Línea 145,Teléfono institucional,Protex,2020-01-08 14:38,Sí,,,,,,,,Río Negro,San Carlos de Bariloche,Denunciante - ciudadano,,Mujer,,62
2020-01-08,,535554505,Urgencia,Institución,No,Trata,Explotación sexual,Corrientes,Goya,PNR - Línea 145,Línea 145,Protex,2020-01-08 17:56,Sí,,,,,,,Argentina,Buenos Aires,Pilar Centro,Denunciante - ciudadano,,Hombre,,18
2020-01-09,,1535554505,Urgencia,Ciudadano,Sí,Trata,Posible captación,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-01-09 00:34,Sí,,,,,,,,Salta,Salta,Denunciante - ciudadano,,Mujer,,66
2020-01-09,,2535554505,Emergencia,Ciudadano,No,Trata,Posible captación,Mendoza,Rivadavia,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-09 05:09,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,50
2020-01-09,,3535554505,Emergencia,Institución,No,Trata,Posible captación,Mendoza,Rivadavia,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-09 07:24,Sí,,,,,,,,,,,,,,50
2020-01-09,,5535554505,Urgencia,Ciudadano,Sí,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,Protex,2020-01-09 09:25,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,
2020-01-09,,6535554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-09 11:22,Sí,,,,,,,,,,,,,,06
2020-01-09,,7535554505,Urgencia,Ciudadano,No,Trata,Posible captación,Mendoza,,PNR - Línea 145,Línea 145,Protex,2020-01-09 12:05,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,50
2020-01-09,,9445554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-09 14:20,Sí,,,,,,,,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Hombre,,02
2020-01-09,,545554505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-09 15:36,Sí,,,,,,,Argentina,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Hombre,,06
2020-01-09,,2545554505,Urgencia,Ciudadano,No,Trata,Abuso sexual infantil,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:24,Sí,,,,,,,Argentina,Salta,Salta,Denunciante - ciudadano,,Mujer,,66
2020-01-09,,4545554505,Urgencia,Ciudadano,No,Trata,Posible captación,Mendoza,Mendoza,PNR - Línea 145,Línea 145,Protex,2020-01-09 21:52,Sí,,,,,,,,,,Denunciante - ciudadano,,,,50
2020-01-09,,5545554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,Protex,2020-01-09 23:41,Sí,,,,,,,,Buenos Aires,,Denunciante - ciudadano,,,,
2020-01-10,,7545554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Santa Fe,San Genaro,PNR - Línea 145,Línea 145,Protex,2020-01-10 10:01,Sí,,,,,,,,,,,,,,82
2020-01-10,,8455554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-10 10:36,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,06
2020-01-10,,9455554505,Urgencia,Ciudadano,Sí,Trata,Persona desaparecida,Buenos Aires,Quilmes,PNR - Línea 145,Línea 145,,,,,,,,,,,,,,,,,06
2020-01-10,,1555554505,Emergencia,Ciudadano,No,Trata,Explotación sexual,Entre Ríos,Concordia,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-10 18:54,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,30
2020-01-10,,2555554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,Valentín Alsina,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:25,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-11,,3555554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-01-11 02:40,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,90
2020-01-11,,4555554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,San Miguel,PNR - Línea 145,Línea 145,Protex,2020-01-11 02:58,Sí,,,,,,,Argentina,Buenos Aires,San Miguel,Denunciante - ciudadano,,Hombre,,06
2020-01-11,,6555554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Lomas de Zamora,PNR - Línea 145,Línea 145,Protex,2020-01-11 14:17,Sí,,,,,,,Argentina,Buenos Aires,Lomas de Zamora,Denunciante - ciudadano,Por Recomendación,Mujer,23,06
2020-01-11,,8465554505,Urgencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Corrientes,Bella Vista,PNR - Línea 145,Línea 145,Protex,2020-01-11 19:08,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,18
2020-01-11,,9465554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-11 21:29,Sí,,,,,,,,,,Denunciante - ciudadano,,,25,02
2020-01-11,,565554505,Urgencia,Institución,No,Trata,Persona desaparecida - posible captación,Buenos Aires,Gobernador Costa,PNR - Línea 145,Línea 145,Protex,2020-01-11 23:31,Sí,,,,,,,Argentina,Buenos Aires,,Denunciante - ciudadano,,Mujer,70,06
2020-01-12,,1565554505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Adrogué,PNR - Línea 145,Línea 145,Protex,2020-01-12 12:59,Sí,,,,,,,Argentina,Buenos Aires,Adrogué,Denunciante - ciudadano,,Mujer,,06
2020-01-13,,5565554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Corrientes,Corrientes,PNR - Línea 145,Línea 145,,,,,,,,,,,,,Denunciante - ciudadano,,Mujer,,18
2020-01-13,,9475554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-01-13 17:26,Sí,,,,,,,,,,Denunciante - ciudadano,,,,06
2020-01-13,,575554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-01-13 19:33,Sí,,,,,,,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,,06
2020-01-13,,1575554505,Urgencia,Ciudadano,Sí,Trata,Oferta laboral engañosa,Buenos Aires,Berazategui,PNR - Línea 145,Línea 145,,,,,,,,,,,,,,,,,06
2020-01-13,,3575554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Santa Fe,Termas de Río Hondo,PNR - Línea 145,Línea 145,Protex,2020-01-13 23:59,Sí,,,,,,,,Santiago del Estero,Termas de Río Hondo,Denunciante - ciudadano,,Mujer,,82
2020-01-13,,4575554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,Lisandro Olmos,PNR - Línea 145,Línea 145,Protex,2020-01-13 22:23,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,30,06
2020-01-14,,5575554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-14 10:44,Sí,,,,,,,,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,,,06
2020-01-14,,6575554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa - posible captación,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-06-23 18:47,Sí,,,,,,,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,45,02
2020-01-14,,8484654505,Urgencia,Ciudadano,No,Trata,Publicidad de oferta sexual,,,PNR - Línea 145,Correo Institucional,Área Legal del Programa Nacional de Rescate,2020-06-23 18:14,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,
2020-01-14,,9484654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Río Negro,San Carlos de Bariloche,PNR - Línea 145,Línea 145,Protex,2020-01-14 12:24,Sí,,,,,,,,Río Negro,San Carlos de Bariloche,Denunciante - ciudadano,,Mujer,,62
2020-01-14,,584654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Neuquén,Neuquen,PNR - Línea 145,Línea 145,Protex,2020-01-14 18:04,Sí,,,,,,,,Neuquén,Neuquen,Denunciante - ciudadano,,Hombre,30,58
2020-01-14,,1584654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Río Negro,San Carlos de Bariloche,PNR - Línea 145,Correo Institucional,Protex,2020-01-14 20:45,Sí,,,,,,,Argentina,Río Negro,San Carlos de Bariloche,Denunciante - ciudadano,,Mujer,,62
2020-01-15,,5584654505,Urgencia,Institución,No,Trata,Explotación sexual,Corrientes,Bella Vista,PNR - Línea 145,Línea 145,Protex,2020-01-15 10:19,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,18
2020-01-15,,6584654505,Urgencia,Ciudadano,No,Trata,Venta de niños y otros delitos,Buenos Aires,Mar del Plata,PNR - Línea 145,Línea 145,Comisarías,2020-02-02 23:30,Sí,,,,,,,,Buenos Aires,San José Corrientes,Denunciante - ciudadano,,Hombre,,06
2020-01-15,,8494654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Grand Bourg,PNR - Línea 145,Línea 145,Protex,2020-01-15 15:34,Sí,,,,,,,Argentina,Buenos Aires,Grand Bourg,Denunciante - ciudadano,,Mujer,,06
2020-01-15,,9494654505,Emergencia,Ciudadano,Sí,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-15 16:50,Sí,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,,82
2020-01-15,,594654505,Urgencia,Ciudadano,Sí,Trata,Explotación laboral,Buenos Aires,Lomas de Zamora,PNR - Línea 145,Línea 145,Comisarías,2020-01-15 19:29,Sí,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Hombre,,06
2020-01-15,,1594654505,Emergencia,Ciudadano,No,Trata,Explotación sexual,La Rioja,La Rioja,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-15 18:33,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,46
2020-01-15,,2594654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Chaco,CONSUELA,PNR - Línea 145,Línea 145,Protex,2020-01-15 18:37,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,22
2020-01-16,,3594654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-16 02:48,No,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,02
2020-01-16,,5594654505,Emergencia,Institución,No,Trata,Explotación laboral,Buenos Aires,Marcos Paz,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-17 08:09,Sí,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-16,,8405654505,Urgencia,Ciudadano,Sí,Trata,Publicidad de oferta sexual,Buenos Aires,Ciudadela,PNR - Línea 145,Línea 145,Protex,2020-01-16 14:18,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,Por publicidad en radio,Mujer,48,06
2020-01-16,,505654505,Emergencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-19 21:17,Sí,,,,,,,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Denunciante - ciudadano,,Mujer,,06
2020-01-16,,2505654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,La Rioja,La Rioja,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:36,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,46
2020-01-16,,4505654505,Urgencia,Ciudadano,No,Trata,"Explotación laboral - explotación laboral niñas, niños y adolescentes",Buenos Aires,Lomas del Mirador,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-16 18:53,Sí,,,,,,,Argentina,Buenos Aires,Virrey del Pino,Denunciante - ciudadano,,Mujer,,06
2020-01-17,,6505654505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Chubut,Comodoro Rivadavia,PNR - Línea 145,Línea 145,Protex,2020-01-17 11:59,Sí,,,,,,,,Chubut,Comodoro Rivadavia,Denunciante - ciudadano,,Hombre,,26
2020-01-17,,8415654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-01-17 15:49,Sí,,,,,,,,Tucumán,,Denunciante - ciudadano,,,,90
2020-01-17,,1515654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Tucumán,Famaillá,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:38,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,90
2020-01-18,,2515654505,Emergencia,Ciudadano,Sí,Trata,"Explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-18 04:27,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,02
2020-01-18,,3515654505,Emergencia,Ciudadano,Sí,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-18 14:53,Sí,,,,,,,,,,,,,,82
2020-01-18,,4515654505,Urgencia,Ciudadano,Sí,Trata,Posible captación,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-01-18 15:03,Sí,,,,,,,,,,,,,,66
2020-01-18,,5515654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Córdoba,Jesus María,PNR - Línea 145,Línea 145,Protex,2020-01-18 16:02,Sí,,,,,,,,Córdoba,Córdoba,Denunciante - ciudadano,,Hombre,,14
2020-01-18,,7515654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-18 18:02,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-19,,9425654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-01-19 22:03,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,90
2020-01-19,,525654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-19 21:57,Sí,,,,,,,,,,Denunciante - ciudadano,,,,06
2020-01-19,,1525654505,Emergencia,Ciudadano,Sí,Trata,"Explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-19 23:30,Sí,,,,,,,,,,,,,,02
2020-01-19,,2525654505,Urgencia,Ciudadano,Sí,Trata,Explotación laboral,San Luis,San Luis,PNR - Línea 145,Línea 145,Protex,2020-01-19 23:52,Sí,,,,,,,Argentina,San Luis,San Luis,Denunciante - ciudadano,,Mujer,,74
2020-01-20,,4525654505,Urgencia,Institución,No,Trata,Explotación sexual,Buenos Aires,San Pedro,PNR - Línea 145,Línea 145,Protex,2020-01-20 11:01,Sí,,,,,,,,Buenos Aires,San Pedro,Denunciante - ciudadano,,Mujer,,06
2020-01-20,,5525654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,Malvinas Argentinas,PNR - Línea 145,Línea 145,Protex,2020-01-20 11:21,Sí,,,,,,,,,,Denunciante - ciudadano,,Transgénero,,06
2020-01-20,,6525654505,Urgencia,Institución,No,Trata,Explotación sexual,Buenos Aires,9 de Abril,PNR - Línea 145,Línea 145,Protex,2020-01-20 11:56,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,06
2020-01-20,,7525654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-20 13:15,Sí,,,,,,,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Denunciante - ciudadano,,Mujer,,02
2020-01-20,,8435654505,Urgencia,Ciudadano,No,Trata,Pornografía infantil,Catamarca,Catamarca,PNR - Línea 145,Línea 145,Protex,2020-01-20 15:40,Sí,,,,,,,,Jujuy,San Salvador de Jujuy,Denunciante - ciudadano,,Mujer,,10
2020-01-20,,9435654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-01-20 16:06,Sí,,,,,,,,,,,,,,06
2020-01-20,,535654505,Emergencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Gerli,PNR - Línea 145,Línea 145,Protex,2020-01-20 19:06,Sí,,,,,,,,Buenos Aires,Lanús Oeste,Denunciante - ciudadano,,Hombre,,06
2020-01-20,,1535654505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Protex,2020-01-20 21:00,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,60,82
2020-01-20,,2535654505,Urgencia,Ciudadano,Sí,Trata,Posible captación,Buenos Aires,Liniers,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-21 00:13,Sí,,,,,,,,,,,,,,06
2020-01-21,,3535654505,Emergencia,Ciudadano,Sí,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-21 02:19,Sí,,,,,,,,,,,,,,06
